DISCOUNT_PRICE,LIST_PRICE,POWER,BRAND,COMPANY,LINK
29999,39999,None,SAMSUNG,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-samsung-2500-w-ar09msfpawqbg-friocalor/1714d99e83
31999,None,None,MIDEA,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-midea-inverter-friocalor-3150-w-ms/2b2551018e
32999,42999,None,SAMSUNG,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-samsung-3300-w-ar12msfpawqbg-friocalor/dad67c4ab6
46999,None,None,MIDEA,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-midea-inverter-friocalor-5140-w-ms/524566e03d
54499,None,None,MIDEA,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-midea-inverter-friocalor-5940-w-ms/abf6db0e44
16999,19999,2200,BGH,FRAVEGA,https://shopping.fravega.com/p/aire-acondicionado-split-frio-calor-bgh-bsh26wcp-2200f-2650w-20401
21999,29499,2200,BGH,FRAVEGA,https://shopping.fravega.com/p/aire-acondicionado-split-inverter-frio-calor-bgh-bsih23cp-2200f-2600w-20470
22999,27999,2200,ELECTRA,FRAVEGA,https://shopping.fravega.com/p/aire-acondicionado-inverter-split-frio-calor-electra-trend-etrdi26tc-2200f-2600w-20388
15999,23499,2230,MIDEA,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-midea-friocalor-2230-fg-2600-w/276beb826d
25999,29999,2236,YORK,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-inverter-york-friocalor-2236-fg-26/9ee31c34d0
28499,37999,2400,SURREY,FRAVEGA,https://shopping.fravega.com/p/split-inverter-surrey-2400-frigorias-frio-calor-10011771
25599,31999,2700,MIDEA,FRAVEGA,https://shopping.fravega.com/p/split-midea-inverter-2700-frigorias-frio-calor-10011785
21999,25999,2750,PHILCO,FRAVEGA,https://shopping.fravega.com/p/aire-acondicionado-split-inverter-frio-calor-philco-eco-plus-phin32h17n-2750f-3200w-20336
16999,24599,2790,MIDEA,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-midea-friocalor-2790-fg-3250-w/bfed44ba9f
24599,24599,2790,MIDEA,FRAVEGA,https://shopping.fravega.com/p/split-midea-2790-frigorias-frio-calor-10011769
24999,None,2838,PHILCO,GARBARINO,https://www.garbarino.com/producto/aire-acond.-split-philco-friocalor-inverter-2838-fg-3300-w/2dcc358a7b
23999,29999,2900,HISENSE,FRAVEGA,https://shopping.fravega.com/p/aire-acondicionado-inverter-split-frio-calor-hisense-hisi35wco-2900f-3400w-20493
23999,29999,2900,HISENSE,FRAVEGA,https://shopping.fravega.com/p/aire-acondicionado-inverter-split-frio-calor-hisense-hisi35wco-2900f-3400w-20486
13999,13999,3000,PHILCO,FRAVEGA,https://shopping.fravega.com/p/aire-acondicionado-split-frio-calor-philco-phs32ha4an-3000f-3500w-20327
15999,23499,3000,HISENSE,FRAVEGA,https://shopping.fravega.com/p/aire-acondicionado-split-frio-calor-hisense-his35wco-3000f-3500w-20515
