DISCOUNT_PRICE,LIST_PRICE,SIZE,BRAND,RESOLUTION,MODEL,COMPANY,LINK
7999,7999,24,NOBLEX,HD,EE24X4000,FRAVEGA,https://shopping.fravega.com/p/tv-led-24-hd-noblex-ee24x4000-502227
7999,8999,32,HITACHI,HD,CDHLE32FD21,GARBARINO,https://www.garbarino.com/producto/tv-led-hitachi-32-hd-cdh-le32fd21/e2912fb23b
7999,11999,32,RCA,HD,L32NXTSMART,FRAVEGA,https://shopping.fravega.com/p/smart-tv-32-hd-rca-l32nxtsmart-502133
7999,10999,32,KENBROWN,HD,KB32S2000SAS,FRAVEGA,https://shopping.fravega.com/p/smart-tv-32-hd-ken-brown-kb32s2000sas-501593
7999,9999,32,HITACHI,HD,CDHLE32FD21,FRAVEGA,https://shopping.fravega.com/p/tv-led-32-hd-hitachi-cdh-le32fd21-502143
8999,11999,32,PHILCO,HD,PLD32HS8B,GARBARINO,https://www.garbarino.com/producto/smart-tv-philco-32-hd-pld32hs8b/573937a69d
9399,9999,32,TOSHIBA,HD,L4700,FRAVEGA,https://shopping.fravega.com/p/netflix-tv-32--hd-toshiba-l4700-501819
9499,10999,32,HITACHI,HD,CDHLE32SMART14,GARBARINO,https://www.garbarino.com/producto/smart-tv-hitachi-32-hd-cdh-le32smart14/2f540c4c65
9499,9999,32,ADMIRAL,HD,AD32E2,FRAVEGA,https://shopping.fravega.com/p/smart-tv-32--hd-admiral-ad32e2-501880
9999,11999,32,NOBLEX,HD,DI32X5000,GARBARINO,https://www.garbarino.com/producto/smart-tv-noblex-32-hd-di32x5000/cfcc922a71
9999,13499,32,PHILIPS,HD,32PHG5813/77,GARBARINO,https://www.garbarino.com/producto/smart-tv-philips-32-hd-32phg581377/60d8d67f96
9999,13999,32,PHILIPS,HD,32PHG5813/77,FRAVEGA,https://shopping.fravega.com/p/smart-tv-32-hd-philips-32phg5813-77-502140
9999,11999,32,TCL,HD,L32S6,FRAVEGA,https://shopping.fravega.com/p/smart-tv-32--hd-tcl-l32s6-501849
9999,10999,32,HITACHI,HD,CDHLE32SMART14,FRAVEGA,https://shopping.fravega.com/p/smart-tv-32-hd-hitachi-cdh-le32smart14-502408
9999,10999,32,TCL,HD,L32S6500,FRAVEGA,https://shopping.fravega.com/p/smart-tv-32-hd-tcl-l32s6500-501863
10999,14999,32,LG,HD,32LK615BPSB,GARBARINO,https://www.garbarino.com/producto/smart-tv-lg-32-hd-32lk615bpsb/6c626fb50c
11999,14999,32,SAMSUNG,HD,UN32J4300DGCDF,GARBARINO,https://www.garbarino.com/producto/smart-tv-samsung-32-hd-un32j4300dgcdf/932f29c810
11999,14999,32,SAMSUNG,HD,J4300,FRAVEGA,https://shopping.fravega.com/p/smart-tv-32-hd-samsung-j4300-502236
12999,15999,40,TOSHIBA,FULLHD,L4700,FRAVEGA,https://shopping.fravega.com/p/netflix-tv-40--full-hd-toshiba-l4700-501823
12999,13999,42,PHILIPS,FULLHD,PFG501177,FRAVEGA,https://shopping.fravega.com/p/led-42-full-hd-philips-pfg5011-77-502194
12999,18999,43,TELEFUNKEN,FULLHD,TKLE4318R,FRAVEGA,https://shopping.fravega.com/p/smart-tv-43--full-hd-telefunken-tkle4318r-501964
12999,17999,43,JVC,FULLHD,LT43DA770,FRAVEGA,https://shopping.fravega.com/p/smart-tv-led-43-full-hd-jvc-lt43da770-501839
13999,17999,43,SANYO,FULLHD,LCE43SF8200,FRAVEGA,https://shopping.fravega.com/p/smart-tv-43-full-hd-sanyo-lce43sf8200-501834
14999,16999,43,NOBLEX,FULLHD,DI43X5100,GARBARINO,https://www.garbarino.com/producto/smart-tv-noblex-43-full-hd-di43x5100/f96d87751d
14999,19999,43,PHILIPS,FULLHD,43PFG5813/77,GARBARINO,https://www.garbarino.com/producto/smart-tv-philips-43-full-hd-43pfg581377/9ef586dbf7
14999,None,43,HISENSE,FULLHD,HLE4317RTF,GARBARINO,https://www.garbarino.com/producto/smart-tv-hisense-43-full-hd-hle4317rtf/66f1589c8e
14999,19999,43,PHILIPS,FULLHD,43PFG5813/77,FRAVEGA,https://shopping.fravega.com/p/smart-tv-43-full-hd-philips-43pfg5813-77-502417
14999,15999,43,NOBLEX,FULLHD,EA43X5100,FRAVEGA,https://shopping.fravega.com/p/smart-tv-43--full-hd-noblex-ea43x5100-501597
14999,16999,43,ADMIRAL,FULLHD,AD43E2,FRAVEGA,https://shopping.fravega.com/p/smart-tv-43--full-hd-admiral-ad43e2-501918
14999,18999,43,HYUNDAI,4K,HYLED43UHD,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-uhd-hyundai-hyled-43uhd-501867
14999,15999,43,TOSHIBA,FULLHD,L4700,FRAVEGA,https://shopping.fravega.com/p/netflix-tv-43--full-hd-toshiba-l4700-501830
14999,15999,43,HISENSE,FULLHD,HLE4317RTF,FRAVEGA,https://shopping.fravega.com/p/smart-tv-led-43--full-hd-hisense-hle4317rtf-501947
15999,23999,43,LG,FULLHD,43LK5700PSC,GARBARINO,https://www.garbarino.com/producto/smart-tv-lg-43-full-hd-43lk5700psc/d25a2b92af
15999,19999,43,SAMSUNG,FULLHD,UN43J5290FV,FRAVEGA,https://shopping.fravega.com/p/smart-tv-43--full-hd-samsung-un43j5290fv-501755
16999,22999,43,SAMSUNG,FULLHD,UN43J5290AGCDF,GARBARINO,https://www.garbarino.com/producto/smart-tv-samsung-43-full-hd-un43j5290agcdf/34233540c4
17999,27999,43,SAMSUNG,4K,UN43MU6100GCFV,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-43-samsung-un43mu6100gcfv-502023
18999,24999,43,PHILIPS,4K,43PUG6102/77,GARBARINO,https://www.garbarino.com/producto/smart-tv-philips-43-4k-ultra-hd-43pug610277/bbe7905324
18999,20999,43,LG,FULLHD,43LK5700PSC,FRAVEGA,https://shopping.fravega.com/p/smart-tv-full-hd-43-lg-43lk5700psc-502482
19999,27999,43,SAMSUNG,4K,UN43MU6100GCDF,GARBARINO,https://www.garbarino.com/producto/smart-tv-samsung-43-4k-ultra-hd-un43mu6100gcdf/b4b352c17a
19999,26999,43,LG,4K,43UK6300PSB,GARBARINO,https://www.garbarino.com/producto/smart-tv-lg-43-4k-ultra-hd-43uk6300psb/8ace8386d4
22999,25999,43,LG,4K,43UK6300PSB,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-43-lg-43uk6300psb-502356
15999,18999,49,PHILIPS,FULLHD,PFG5101/77,FRAVEGA,https://shopping.fravega.com/p/tv-led-49-full-hd-philips-pfg5101%2F77-502175
16999,22999,49,HISENSE,FULLHD,HLE4917RTF,GARBARINO,https://www.garbarino.com/producto/smart-tv-hisense-49-full-hd-hle4917rtf/daebbaa2bc
16999,24999,49,HITACHI,FULLHD,CDHLE49SMART14,FRAVEGA,https://shopping.fravega.com/p/smart-tv-49-full-hd-hitachi-cdh-le49smart14-501838
17999,22999,49,HITACHI,FULLHD,CDHLE49SMART14,GARBARINO,https://www.garbarino.com/producto/smart-tv-hitachi-49-full-hd-cdh-le49smart14/2b274aa8b4
17999,24999,49,PHILIPS,FULLHD,49PFG5102/77,GARBARINO,https://www.garbarino.com/producto/smart-tv-philips-49-full-hd-49pfg510277/432c76aba6
17999,24999,49,PHILIPS,FULLHD,49PFG5102/77,FRAVEGA,https://shopping.fravega.com/p/smart-tv-49--full-hd-philips-49pfg5102-77-501691
18999,19999,49,HISENSE,FULLHD,HLE4917RTF,FRAVEGA,https://shopping.fravega.com/p/smart-tv-led-49--full-hd-hisense-hle4917rtf-501720
18999,21999,49,HYUNDAI,4K,HYLED49UHD2,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-uhd-hyundai-hyled-49uhd2-501844
19999,24999,49,SAMSUNG,FULLHD,UN49K5500,FRAVEGA,https://shopping.fravega.com/p/smart-tv-full-hd-49-samsung-un49k5500-501989
19999,24999,49,TOSHIBA,4K,U4700,FRAVEGA,https://shopping.fravega.com/p/netflix-tv-4k-49--toshiba-u4700-501842
21999,28999,49,LG,FULLHD,49LK5700PSC,GARBARINO,https://www.garbarino.com/producto/smart-tv-lg-49-full-hd-49lk5700psc/dc7898b279
21999,25999,49,LG,FULLHD,LJ5500,FRAVEGA,https://shopping.fravega.com/p/smart-tv-led-49--full-hd-lg-lj5500-501757
22999,29999,49,SAMSUNG,FULLHD,UN49K5500AGCDF,GARBARINO,https://www.garbarino.com/producto/smart-tv-samsung-49-full-hd-un49k5500agcdf/7702c0bf71
26999,38570,49,SONY,4K,KD49X725F ,GARBARINO,https://www.garbarino.com/producto/smart-tv-sony-49-4k-ultra-hd-kd-49x725f/ba6e7c2207
26999,38570,49,SONY,4K,KD49X725F,FRAVEGA,https://shopping.fravega.com/p/smart-tv-49-4k-sony-ultra-hd-kd-49x725f-10010390
34999,53856,49,SONY,4K,KD49X755F,GARBARINO,https://www.garbarino.com/producto/smart-tv-sony-49-4k-ultra-hd-kd-49x755f/b3f3b266a9
34999,53999,49,SONY,4K,KD49X755F,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-49-sony-kd49x755f-10010143
18999,23999,50,NOBLEX,FULLHD,EA50X6100,FRAVEGA,https://shopping.fravega.com/p/smart-tv-led-50--full-hd-noblex-ea50x6100-501607
18999,24999,50,SKYWORTH,4K,SW50S2,FRAVEGA,https://shopping.fravega.com/p/smart-tv-led-4k-50-skyworth-sw50s2-501790
23999,29999,50,PHILIPS,4K,50PUG6102/77,GARBARINO,https://www.garbarino.com/producto/smart-tv-philips-50-4k-ultra-hd-50pug610277/a1ea4e581b
23999,29999,50,PHILIPS,4K,PUG610277,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-50--philips-pug6102-77-502139
29999,39999,50,SAMSUNG,4K,UN50MU6100GCDF,GARBARINO,https://www.garbarino.com/producto/smart-tv-samsung-50-4k-ultra-hd-un50mu6100gcdf/4dc9e784ab
29999,34999,50,SAMSUNG,4K,UN50MU6100,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-50--samsung-un50mu6100-501898
29999,32999,50,LG,4K,50UK6550PSB,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-50-lg-50uk6550psb-502229
29999,34999,50,SAMSUNG,4K,UN50MU6100,FRAVEGA,https://shopping.fravega.com/p/smart-tv-4k-50-samsung-un50mu6100-501722
26999,32999,55,TOSHIBA,4K,U4700,FRAVEGA,https://shopping.fravega.com/p/netflix-tv-4k-55--toshiba-u4700-501856
